Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Triple,Single,128GB 6GB RAM,Build,Models,128GB 4GB RAM,32GB 3GB RAM,64GB 4GB RAM,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Single_1,256GB 8GB RAM,SAR,Protection,256GB 12GB RAM,256GB 6GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Stand-by_1,Talk time_1,Alert types,Languages,Clock,Alarm
b'motorola',b'Motorola One 5G UW',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-one-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'Water-repellent coating',b'HSDPA 850 / 900 / 1900 / 2100',b'UFS 2.1',"b'2, 4, 5, 12, 13, 66'","b'2, 5, 66, 260, 261 mmWave'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 16'","b'Available. Released 2020, October 16'",b'167.9 x 73.9 x 8.9 mm (6.61 x 2.91 x 0.35 in)',b'209.8 g (7.41 oz)',b'Pre-installed Nano-SIM',,"b'LTPS IPS LCD, 90Hz, HDR10'","b'6.7 inches, 104.9 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2520 pixels, 21:9 ratio (~409 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765 (7 nm)',b'Octa-core (1x2.3 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m 5 MP, f/2.2, (macro), AF 2 MP, f/2.2, (depth)'","b'Dual-LED flash, ring flash (macro camera), panorama, HDR'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'16 MP, f/2.0, (wide), 1.0\xc2\xb5m 8 MP, f/2.2, (ultrawide), 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W',b'Oxford Blue',b'About 550 USD',,,,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,b'0.98 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola One 5G',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-one-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'UFS 2.1',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71'","b'2, 5, 25, 41, 66, 71 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, September 01'","b'Available. Released 2020, September 14'",b'168 x 74 x 9 mm (6.61 x 2.91 x 0.35 in)',b'207 g (7.30 oz)',b'Nano-SIM',,"b'LTPS IPS LCD, 90Hz, HDR10'","b'6.7 inches, 104.9 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2520 pixels, 21:9 ratio (~409 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765 (7 nm)',b'Octa-core (1x2.3 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m 5 MP, f/2.2, (macro), AF 2 MP, f/2.2, (depth)'","b'Dual-LED flash, ring flash (macro camera), panorama, HDR'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'16 MP, f/2.0, (wide), 1.0\xc2\xb5m 8 MP, f/2.2, (ultrawide), 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W',b'Oxford Blue',b'About 420 EUR',,,,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G9 Play',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-play.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,b'LTE',,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, August 24'","b'Available. Released 2020, August 28'",b'165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in)',b'200 g (7.05 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.5 inches, 102.8 cm2 (~82.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 20W',"b'Forest Green, Sapphire Blue, Spring Pink'",b'$\xe2\x80\x89178.99 / \xe2\x82\xac\xe2\x80\x89169.49 / \xc2\xa3\xe2\x80\x89155.99',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'8 MP, f/2.2, 1.12\xc2\xb5m'",,"b'Glass front, plastic back, plastic frame'",,,,b'$\xe2\x80\x89178.99',,b'AnTuTu: 170064 (v8) GeekBench: 1402 (v5.1) GFXBench: 13fps (ES 3.1 onscreen)',b'Contrast ratio: 1944:1',b'Photo / Video',b'-27.6 LUFS (Good)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G9 (India)',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Water-repellent coating',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, August 24'","b'Available. Released 2020, August 31'",b'165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in)',b'200 g (7.05 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.5 inches, 102.8 cm2 (~82.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 20W',"b'Forest Green, Sapphire Blue'",b'About 130 EUR',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'8 MP, f/2.2, 1.12\xc2\xb5m'",,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G 5G Plus',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-5g-plus.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66'",b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'Water-repellent coating',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66'","b'1, 3, 7, 8, 28, 38, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, July 07'","b'Available. Released 2020, July 08'",b'168.3 x 74 x 9.7 mm (6.63 x 2.91 x 0.38 in)',b'207 g (7.30 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'UFS 2.1',"b'LTPS IPS LCD, 90Hz, HDR10'","b'6.7 inches, 104.9 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2520 pixels, 21:9 ratio (~409 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765 (7 nm)',b'Octa-core (1x2.3 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m 5 MP, (macro), AF 2 MP, (depth)'","b'Dual-LED flash, panorama, HDR'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'16 MP, f/2.0, 29mm (normal), 1.0\xc2\xb5m 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, LTEEP, SUPL'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 20W',"b'Surfing Blue, Mystic Lilac'",b'$\xe2\x80\x89299.97 / \xe2\x82\xac\xe2\x80\x89234.95 / \xc2\xa3\xe2\x80\x89249.99',,,b'\xe2\x82\xac\xe2\x80\x89391.99',"b'Glass front, plastic back, plastic frame'","b'XT2075, XT2075-2, XT2075-3'",,,b'$\xe2\x80\x89299.97',,b'AnTuTu: 299926 (v8) GeekBench: 1898 (v5.1) GFXBench: 16fps (ES 3.1 onscreen)',b'Contrast ratio: 1269:1',b'Photo / Video',b'-28.4 LUFS (Average)',b'Endurance rating 114h',,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola One Fusion',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-one-fusion-1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 19, 28, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2020, July 02'","b'Available. Released 2020, July 02'",b'165 x 75.9 x 9.4 mm (6.50 x 2.99 x 0.37 in)',b'202 g (7.13 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~81.5% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Android 10',b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)'","b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'",,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio (market/region dependent)',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Emerald Green, Deep Sapphire Blue'",b'$\xe2\x80\x89179.99',,"b'8 MP, f/2.0'",,"b'Glass front, plastic back, plastic frame'",b'XT2073-2',b'$\xe2\x80\x89199.99',,b'$\xe2\x80\x89179.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola One Fusion+',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-one-fusion-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 LATAM',b'HSDPA 800 / 850 / 900 / 1900 / 2100 International',"b'1, 2, 3, 4, 5, 7, 8, 19, 28, 66 - LATAM'","b'1, 2, 3, 5, 7, 8, 19, 20, 38, 40, 41 - Europe, India'",,"b'HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps'","b'2020, June 08'","b'Available. Released 2020, June 08'",b'162.9 x 76.4 x 9.6 mm (6.41 x 3.01 x 0.38 in)',b'210 g (7.41 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'UFS 2.1',"b'IPS LCD, HDR10'","b'6.5 inches, 103.7 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)'",b'Android 10',b'Qualcomm SDM730 Snapdragon 730 (8 nm) - EuropeQualcomm SDM730 Snapdragon 730G (8 nm) - India',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',b'microSDXC (uses shared SIM slot)',"b'128GB 4GB RAM, 128GB 6GB RAM'","b'64 MP, f/1.8, (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)'","b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30/60fps'",,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, LTEPP, SUPL'",b'No',b'FM radio (market/region dependent)',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W',"b'Moonlight White, Twilight Blue'",b'$\xe2\x80\x89299.00 / \xc2\xa3\xe2\x80\x89219.00',,"b'Motorized pop-up 16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",b'$\xe2\x80\x89299.00',"b'Glass front, plastic back, plastic frame'",b'PAKF0002IN',,,,,b'AnTuTu: 267980 (v8) GeekBench: 1705 (v5.1) GFXBench: 14fps (ES 3.1 onscreen)',b'Contrast ratio: 1423:1 (nominal)',b'Photo / Video',b'-27.9 LUFS (Good)',b'Endurance rating 136h',,,b'0.52 W/kg (head) \xc2\xa0 \xc2\xa0 1.43 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola One Vision Plus',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g8-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/100 Mbps'","b'2020, July 10'","b'Available. Released 2020, July 13'",b'158.4 x 75.8 x 9.1 mm (6.24 x 2.98 x 0.36 in)',b'188 g (6.63 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'LTPS IPS LCD',"b'6.3 inches, 99.1 cm2 (~82.5% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~400 ppi density)'","b'Android 9.0 (Pie), upgradable to Android 10'",b'Qualcomm SDM665 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'128GB 4GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)'",,b'HDR',b'1080p@30/120fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 15W',"b'Cosmic Blue, Crystal Pink'",b'About 170 EUR',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF 16 MP, f/2.2, 14mm (ultrawide), dedicated video camera (1080p) 5 MP, f/2.2, (depth)'","b'25 MP, f/2.0, 0.9\xc2\xb5m'",,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G Fast',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-fast.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 25, 26, 29, 30, 38, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, June 05'","b'Available. Released 2020, June 12'",b'161.9 x 75.7 x 9.1 mm (6.37 x 2.98 x 0.36 in)',b'189.4 g (6.67 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.4 inches, 100.5 cm2 (~82.0% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)'",b'Android 10',b'Qualcomm SM6125 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'",,b'HDR',"b'1080p@30fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL'",b'No',,b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',b'Pearl White',b'$\xe2\x80\x8989.99',"b'16 MP, f/1.7, (wide), 1/2.8"", 1.12\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.2, (macro)'","b'8 MP, f/2.0, (wide), 1.12\xc2\xb5m'",,,,,b'$\xe2\x80\x8989.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto E (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e-2020.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 25, 26, 30, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, June 05'","b'Available. Released 2020, June 10'",b'159.8 x 76.6 x 8.7 mm (6.29 x 3.02 x 0.34 in)',b'185 g (6.53 oz)',b'Nano-SIM',b'eMMC 5.1',b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~78.4% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 10',b'Qualcomm SDM632 Snapdragon 632 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',b'Adreno 506',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.2, (depth)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, LTEPP, SUPL'",b'No',,b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 3550 mAh, non-removable'",,b'Midnight Blue',b'$\xe2\x80\x8989.99',,"b'5 MP, f/2.0, 1.12\xc2\xb5m'",,"b'Glass front, plastic back, plastic frame'",,,,,b'$\xe2\x80\x8989.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'motorola',b'Motorola Moto G Pro',b'https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Stylus Water-repellent coating',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/100 Mbps'","b'2020, May 26'","b'Available. Released 2020, June 15'",b'158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in)',b'192 g (6.77 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.4 inches, 100.7 cm2 (~83.7% screen-to-body ratio)'",b'1080 x 2300 pixels (~399 ppi density)',"b'Android 10, Android One'",b'Qualcomm SDM665 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',b'128GB 4GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)'",,b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 15W',b'Mystic indigo',b'$\xe2\x80\x89248.40 / \xe2\x82\xac\xe2\x80\x89214.49 / \xc2\xa3\xe2\x80\x89179.99',"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF 16 MP, f/2.2, 117\xcb\x9a (ultrawide), dedicated video camera (1080p) 2 MP, f/2.2, (macro)'","b'16 MP, f/2.0, (wide), 1/3.06"", 1.0\xc2\xb5m'",,"b'Glass front, plastic back, aluminum frame (6000 series)'",,b'$\xe2\x80\x89248.40',,,,b'AnTuTu: 173611 (v8) GeekBench: 1385 (v5.1) GFXBench: 6.6fps (ES 3.1 onscreen)',b'Contrast ratio: 1422:1',b'Photo / Video',b'-24.5 LUFS (Very good)',b'Endurance rating 88h',,,,,,,,,,,,,,,,,,,,,,,,,,,,
